image_path,domain,gt_unified,pred_unified,pred_pv,prob,correct,topk_hit
PlantDoc-Dataset/test/Tomato leaf late blight/70.jpg,pd,tomato__late_blight,"[None, None, 'tomato__healthy']","['Tomato___Early_blight', 'Strawberry___Leaf_scorch', 'Tomato___healthy']","[0.9428293108940125, 0.04333512857556343, 0.011788536794483662]",0,0
PlantDoc-Dataset/test/Bell_pepper leaf spot/000.jpg,pd,pepper_bell__bacterial_spot,"['corn__gray_leaf_spot', None, None]","['Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot', 'Strawberry___Leaf_scorch', 'Pepper,_bell___healthy']","[0.5633888244628906, 0.40486812591552734, 0.016238607466220856]",0,0
PlantDoc-Dataset/test/Tomato Early blight leaf/early_blight1-150x150.jpg,pd,tomato__early_blight,"[None, 'tomato__leaf_mold', 'grape__black_rot']","['Tomato___Early_blight', 'Tomato___Leaf_Mold', 'Grape___Black_rot']","[1.0, 2.5892012492367833e-11, 3.233380794012697e-12]",0,0
image_path,domain,gt_unified,pred_unified,pred_pv,prob,correct,topk_hit
PlantDoc-Dataset/test/Tomato Early blight leaf/1234080-Early-Blight.jpg,pd,tomato__early_blight,"[None, 'corn__common_rust', None]","['Tomato___Early_blight', 'Corn_(maize)___Common_rust_', 'Pepper,_bell___healthy']","[0.9998708963394165, 8.687873196322471e-05, 2.587472954473924e-05]",0,0
PlantDoc-Dataset/test/Tomato leaf/2013-08-20-06.jpg,pd,tomato__healthy,"['corn__healthy', None, None]","['Corn_(maize)___healthy', 'Pepper,_bell___healthy', 'Tomato___Tomato_Yellow_Leaf_Curl_Virus']","[0.865279495716095, 0.12927734851837158, 0.004982210695743561]",0,0
PlantDoc-Dataset/test/Tomato Septoria leaf spot/636227737977191231-septoria-leaf-spot-VT.jpg,pd,tomato__septoria_leaf_spot,"[None, 'tomato__late_blight', 'grape__black_rot']","['Strawberry___Leaf_scorch', 'Tomato___Late_blight', 'Grape___Black_rot']","[0.9981574416160583, 0.0018279214855283499, 1.038137634168379e-05]",0,0
image_path,domain,gt_unified,pred_unified,pred_pv,prob,correct,topk_hit
PlantDoc-Dataset/test/Tomato leaf yellow virus/fwa2013313115151.jpg,pd,tomato__yellow_leaf_curl_virus,"[None, 'tomato__late_blight', None]","['Strawberry___Leaf_scorch', 'Tomato___Late_blight', 'Tomato___Tomato_Yellow_Leaf_Curl_Virus']","[0.9983999133110046, 0.0015917036216706038, 6.2536296354664955e-06]",0,0
PlantDoc-Dataset/test/grape leaf black rot/35589125035_662dd5b258_b.jpg,pd,grape__black_rot,"[None, None, 'grape__black_rot']","['Tomato___Target_Spot', 'Pepper,_bell___Bacterial_spot', 'Grape___Black_rot']","[0.8736051321029663, 0.04449426382780075, 0.04422815516591072]",0,1
PlantDoc-Dataset/test/Tomato Septoria leaf spot/636227737977191231-septoria-leaf-spot-VT.jpg,pd,tomato__septoria_leaf_spot,"[None, 'tomato__late_blight', 'grape__black_rot']","['Strawberry___Leaf_scorch', 'Tomato___Late_blight', 'Grape___Black_rot']","[0.9981574416160583, 0.0018279214855283499, 1.038137634168379e-05]",0,0
