image_path,domain,gt_unified,pred_unified,pred_pv,prob,correct,topk_hit
PlantDoc-Dataset/test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,pd,potato__late_blight,"['tomato__late_blight', 'tomato__early_blight', None]","['Tomato___Late_blight', 'Tomato___Early_blight', 'Strawberry___Leaf_scorch']","[1.0, 6.219901438515862e-13, 1.375740457367492e-16]",0,0
PlantDoc-Dataset/test/Tomato Early blight leaf/039b47d574bc4bb8a14259a1cd96a741.jpg,pd,tomato__early_blight,"['tomato__late_blight', 'tomato__early_blight', 'corn__gray_leaf_spot']","['Tomato___Late_blight', 'Tomato___Early_blight', 'Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot']","[0.7328119277954102, 0.2072361409664154, 0.059510886669158936]",0,1
PlantDoc-Dataset/test/grape leaf/grape-leaf-picture-id119212425?k=6&m=119212425&s=612x612&w=0&h=8RZBWGcvXe4tAwhhvYZVFzWyRyiN5iTxKfWBpPT1FcU=.jpg,pd,grape__healthy,"['grape__healthy', 'tomato__healthy', 'apple__healthy']","['Grape___healthy', 'Tomato___healthy', 'Apple___healthy']","[0.9999997615814209, 2.0506266196207434e-07, 1.2973998764209682e-08]",1,1
image_path,domain,gt_unified,pred_unified,pred_pv,prob,correct,topk_hit
PlantDoc-Dataset/test/Bell_pepper leaf spot/000.jpg,pd,pepper_bell__bacterial_spot,"['corn__gray_leaf_spot', None, 'pepper_bell__healthy']","['Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot', 'Strawberry___Leaf_scorch', 'Pepper,_bell___healthy']","[0.5633888244628906, 0.40486812591552734, 0.016238607466220856]",0,0
PlantDoc-Dataset/test/Cherry leaf/prunsero_leaf2.jpg,pd,cherry__healthy,"[None, 'pepper_bell__healthy', None]","['Peach___Bacterial_spot', 'Pepper,_bell___healthy', 'Corn_(maize)___healthy']","[0.9576834440231323, 0.04231655225157738, 9.149160540289358e-09]",0,0
PlantDoc-Dataset/test/grape leaf black rot/Black%20rot%20on%20foliage.jpg,pd,grape__black_rot,"['grape__black_rot', 'apple__scab', None]","['Grape___Black_rot', 'Apple___Apple_scab', 'Grape___Esca_(Black_Measles)']","[0.9999842643737793, 1.0084285349876154e-05, 4.257869477442e-06]",1,1
image_path,domain,gt_unified,pred_unified,pred_pv,prob,correct,topk_hit
PlantDoc-Dataset/test/Corn rust leaf/2256-body-1501555581-1.jpg,pd,corn__common_rust,"['corn__common_rust', None, 'corn__gray_leaf_spot']","['Corn_(maize)___Common_rust_', 'Corn_(maize)___healthy', 'Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot']","[0.999925971031189, 6.92100147716701e-05, 4.715643171948614e-06]",1,1
PlantDoc-Dataset/test/grape leaf/grapevine-leaf-7466071.jpg,pd,grape__healthy,"[None, 'tomato__late_blight', 'tomato__healthy']","['Peach___Bacterial_spot', 'Tomato___Late_blight', 'Tomato___healthy']","[0.8981170058250427, 0.08750339597463608, 0.014303348027169704]",0,0
PlantDoc-Dataset/test/Bell_pepper leaf/10148582-green-leaf-of-pepper.jpg,pd,pepper_bell__healthy,"['pepper_bell__healthy', 'blueberry__healthy', 'tomato__late_blight']","['Pepper,_bell___healthy', 'Blueberry___healthy', 'Tomato___Late_blight']","[1.0, 3.782300583843323e-10, 6.760921249931995e-12]",1,1
image_path,domain,gt_unified,pred_unified,pred_pv,prob,correct,topk_hit
PlantDoc-Dataset/test/Squash Powdery mildew leaf/surface.jpg,pd,squash__powdery_mildew,"['pepper_bell__healthy', None, None]","['Pepper,_bell___healthy', 'Corn_(maize)___healthy', 'Cherry_(including_sour)___Powdery_mildew']","[0.999998927116394, 1.0402170573797775e-06, 2.2856081471900325e-08]",0,0
PlantDoc-Dataset/test/Tomato leaf mosaic virus/tmv-tomato-9.jpg,pd,tomato__mosaic_virus,"['tomato__late_blight', None, 'tomato__yellow_leaf_curl_virus']","['Tomato___Late_blight', 'Corn_(maize)___healthy', 'Tomato___Tomato_Yellow_Leaf_Curl_Virus']","[0.8999593257904053, 0.09893861413002014, 0.0005782951484434307]",0,0
PlantDoc-Dataset/test/Tomato mold leaf/50%20Leafmold%20Top.jpg,pd,tomato__leaf_mold,"['tomato__late_blight', 'tomato__yellow_leaf_curl_virus', 'tomato__leaf_mold']","['Tomato___Late_blight', 'Tomato___Tomato_Yellow_Leaf_Curl_Virus', 'Tomato___Leaf_Mold']","[0.9957980513572693, 0.004201894626021385, 1.2039442359723651e-11]",0,1
